Forecast_Day,Model,ME,SD,R2,MAE,RMSE,Theils_U
N-1,Kasten,-0.811454043,67.94111556,0.286571749,30.9418731,67.94596118,0.011942638
N-2,Kasten,-0.871085723,64.75700253,0.351850691,29.67158682,64.76286101,0.01345039
N-3,Kasten,-1.464538448,65.03364333,0.346087905,30.4076403,65.05013173,0.022513997
N-4,Kasten,-0.614561275,63.11684263,0.384320472,29.5858178,63.11983451,0.009736421
N-5,Kasten,0.028988136,69.37181967,0.256314595,33.32890571,69.37182572,0.000417866
N-6,Kasten,14.06539711,76.78862366,0.058221346,38.35297558,78.06617782,0.180172739
N-7,Kasten,9.676749654,77.95831131,0.046351669,38.6288341,78.5565897,0.123181896
N-1,Balint et al.,4.021510514,75.16487095,0.124423205,33.55463934,75.27237456,0.053426115
N-2,Balint et al.,4.007697766,71.61476044,0.204965333,32.31300837,71.72681196,0.055874472
N-3,Balint et al.,3.363290397,71.72622066,0.2032304,33.04959975,71.80503083,0.046839203
N-4,Balint et al.,4.37726198,69.91983544,0.241557621,32.25225134,70.05671852,0.062481687
N-5,Balint et al.,5.074636068,76.21143877,0.098460789,36.0581156,76.38020248,0.066439154
N-6,Balint et al.,13.03033193,75.2532417,0.098630064,37.74021907,76.37303147,0.170614308
N-7,Balint et al.,10.42125419,76.60096962,0.076458947,38.26287313,77.30660441,0.13480419
N-1,Real-world GHI based,-0.973616654,42.5657573,0.719862728,21.06783242,42.57689073,0.022867256
N-2,Real-world GHI based,-1.377131403,42.71752205,0.717716015,21.55342514,42.73971433,0.032221353
N-3,Real-world GHI based,-1.902829495,44.56017138,0.692597121,22.50566599,44.60078064,0.042663592
N-4,Real-world GHI based,-4.321785287,51.12373355,0.593218965,24.58414691,51.30608112,0.084235342
N-5,Real-world GHI based,-1.903379292,48.93692605,0.629359495,25.78883932,48.9739276,0.038865155
N-6,Real-world GHI based,12.6412398,54.75690546,0.511964304,30.91136699,56.19714974,0.224944501
N-7,Real-world GHI based,13.0094237,64.42919015,0.332358208,35.18066871,65.72948843,0.197923702
N-1,Karamov Naumov,5.886750581,57.98184805,0.475119021,25.85933188,58.27991537,0.101008221
N-2,Karamov Naumov,4.832025966,59.03309681,0.457856617,27.07618285,59.23052417,0.081579997
N-3,Karamov Naumov,4.290929451,60.33153615,0.434668639,27.92489329,60.48393448,0.070943292
N-4,Karamov Naumov,-9.617534561,46.88609415,0.645993925,23.33967704,47.8623317,0.200941622
N-5,Karamov Naumov,3.965590082,64.07881013,0.363040217,30.80657903,64.2014004,0.061767969
N-6,Karamov Naumov,25.53085006,80.83580564,-0.110517582,41.72951752,84.77176286,0.301171631
N-7,Karamov Naumov,22.23023396,84.00950932,-0.167004134,41.90917594,86.90098365,0.255811074
N-1,HDKR,3.782575704,51.89987419,0.581537635,24.86549052,52.0375328,0.072689374
N-2,HDKR,3.245987938,54.97047778,0.531409236,27.19251775,55.06623162,0.058946978
N-3,HDKR,2.344360063,55.73081855,0.519180944,27.44535517,55.78010541,0.042028606
N-4,HDKR,0.899492349,54.45387276,0.541648097,27.66008549,54.46130135,0.016516174
N-5,HDKR,2.076188539,58.75134456,0.465926973,30.02674774,58.78801788,0.035316526
N-6,HDKR,17.13752165,66.08974433,0.279633913,36.37159181,68.27553701,0.2510053
N-7,HDKR,2.99940736,53.65124654,0.553791449,28.28333264,53.73502303,0.055818481
